"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"jtag";"PinHeader_2x10_P2.54mm_Vertical";1;" ";;;
2;"REF**";"PinHeader_1x07_P2.54mm_Vertical";1;" ";;;
3;"LCD";"TUXGR_16X2_R2";1;"";;;
4;"E$8,E$56,E$64,E$65,E$7,E$8";"FRC(10)";6;"";;;
5;"@HOLE0,@HOLE1,@HOLE2,@HOLE3,@HOLE4";"";5;"";;;
6;"E$1";"LPC1769-HEADER";1;"";;;
7;"E$2,E$18,E$27,E$30";"CRYSTAL";4;"";;;
8;"E$3,E$4,E$5,E$6,E$15,E$19,E$20,E$25,E$26,E$28,E$29,E$31,E$51,E$61,E$62,E$57,E$66,E$67,E$85,E$86";"CAPACITOR(CERAMIC)";20;"";;;
9;"E$13,E$34,E$36,E$69,E$70,E$74,E$75,E$95";"RESISTER(HORIZONTAL)";8;"";;;
10;"ATTINY85,,ATTINY85,ATTINY85.";"DIL08";3;"";;;
11;"E$21,E$22,E$23,E$32,E$37,E$84,E$106,E$83";"CONNECTOR(6_PIN)";8;"";;;
12;"E$24,E$90,E$118,E$119,E$120,E$121,E$141";"CAPACITOR(ELECTROLYTE_220)";7;"";;;
13;"MCT2E.,MCT2E,MCT2E,";"DIL6";3;"";;;
14;"E$35,E$50,E$52,E$53,E$54,E$55,E$59,E$60,E$76,E$9,E$48";"CONNECTOR(3_PIN)";11;"";;;
15;"E$38";"POT(SQAURE)";1;"";;;
16;"E$63";"SWITCH(PUSH-BUTTON)";1;"";;;
17;"780-05,780-05.";"TO263-3";2;"";;;
18;"E$108,E$109";"CONNECTOR(GREEN)";2;"";;;
19;"AMS1117";"SOT223";1;"";;;
20;"E$113";"RESISTER_ARRAY(7)";1;"";;;
21;"R1,LED1,R,LED,LED3,LED2";"M1206";6;"";;;
22;"E$49,E$71,E$73";"R1206";3;"";;;
23;"E$103,E$104";"C1206";2;"";;;
